artista,n_oyentes,n_playcount
Taylor Swift,5940154,3676774009
Drake,6720593,1165340486
Morgan Wallen,986477,91475832
Kendrick Lamar,5098105,1031584717
The Weeknd,5318620,1123047548
SZA,3496487,587951712
Zach Bryan,1205487,136588370
Tyler the Creator,107129,2734144
Billie Eilish,4230582,836351191
Ariana Grande,4483252,1111746299
Bad Bunny,2582126,407024693
Karol G,1446042,75934691
Myke Towers,659503,28468624
Quevedo,386026,23659082
Aitana,243503,14816699
Rosalía,1867349,203697085
Morad,207014,9306119
Melendi,316017,8232484
Enrique Iglesias,2711982,54231443
Juanes,1209238,21958335
Duki,298201,43048568
María Becerra,509,7096
Tini Stoessel,49,486
Nicki Nicole,257172,10846174
Cazzu,207599,5879351
Lali,132990,8995929
Paulo Londra,387005,16762239
Shakira,4879843,180111807
Bizarrap,926200,46003223
Emilia,501437,18923889
