artista,n_oyentes,n_playcount,ratio_popularidad
Taylor Swift,5957629,3690525790,619.4621702694142
Drake,6738583,1174169000,174.24568340257886
Morgan Wallen,991811,92317985,93.0802189126759
Kendrick Lamar,5114982,1035906248,202.52392833444966
The Weeknd,5337752,1129465814,211.59952991446588
SZA,3511666,590583550,168.17759718606496
Zach Bryan,1211218,137692778,113.68125143450642
Tyler the Creator,107247,2735833,25.50964595746268
Billie Eilish,4248142,841110926,197.99501193698327
Ariana Grande,4501507,1119834444,248.76878876340746
Bad Bunny,2598755,410879172,158.1061592955088
Karol G,1456704,76691857,52.64752276371864
Myke Towers,663869,28732971,43.28108557561808
Quevedo,389468,24230338,62.21393798720305
Aitana,246484,14973563,60.74862060012009
Rosalía,1875865,205303570,109.44474682346544
Morad,208709,9407099,45.072799927171324
Melendi,316833,8274342,26.11578339377527
Enrique Iglesias,2721528,54425175,19.99802133213401
Juanes,1213003,22047221,18.175734932230174
Duki,299477,43291930,144.5584468924158
María Becerra,513,7110,13.859649122807017
Tini Stoessel,49,486,9.918367346938776
Nicki Nicole,258038,10884974,42.183608615785275
Cazzu,208863,5928757,28.38586537586839
Lali,133389,9050546,67.8507673046503
Paulo Londra,389244,16858892,43.31188663152162
Shakira,4900769,181470296,37.02894300874006
Bizarrap,932931,46210726,49.53284433682663
Emilia,503216,19040778,37.838180820959586
