pais,ranking,artista,oyentes
España,1,Bad Bunny,12042
España,2,Rosalía,9182
España,3,Quevedo,8450
España,4,Charli Xcx,8306
España,5,Taylor Swift,8097
España,6,Lady Gaga,8014
España,7,Michael Jackson,7899
España,8,Olivia Rodrigo,7438
España,9,Bad Gyal,7365
España,10,Sabrina Carpenter,7359
España,11,Pinkpantheress,7173
España,12,Justin Bieber,7110
España,13,Ariana Grande,6837
España,14,Rihanna,6717
España,15,Tame Impala,6456
España,16,Zara Larsson,6219
España,17,The Weeknd,6135
España,18,Madonna,6065
España,19,Kanye West,5817
España,20,Lana Del Rey,5768
España,21,Billie Eilish,5742
España,22,C. Tangana,5707
España,23,Rauw Alejandro,5581
España,24,Radiohead,5559
España,25,Harry Styles,5496
España,26,Bruno Mars,5297
España,27,Rusowsky,5219
España,28,Arctic Monkeys,5149
España,29,Drake,5013
España,30,Shakira,4955
España,31,Aitana,4934
España,32,Katy Perry,4930
España,33,Mora,4793
España,34,Coldplay,4761
España,35,Omar Courtz,4751
España,36,Gorillaz,4615
España,37,Myke Towers,4587
España,38,Kendrick Lamar,4567
España,39,Eladio Carrion,4503
España,40,Dua Lipa,4426
España,41,Britney Spears,4376
España,42,"Tyler, The Creator",4370
España,43,Rels B,4323
España,44,Linkin Park,4290
España,45,Raye,4269
España,46,David Guetta,4206
España,47,J Balvin,4191
España,48,Bizarrap,4173
España,49,The Strokes,4106
España,50,Chappell Roan,4100
Argentina,1,Bad Bunny,9852
Argentina,2,Taylor Swift,9406
Argentina,3,Sabrina Carpenter,9018
Argentina,4,Michael Jackson,8196
Argentina,5,Bts,7898
Argentina,6,Babasonicos,7830
Argentina,7,Justin Bieber,7772
Argentina,8,Lady Gaga,7526
Argentina,9,Patricio Rey Y Sus Redonditos De Ricota,7443
Argentina,10,Ariana Grande,7375
Argentina,11,Arctic Monkeys,6968
Argentina,12,Olivia Rodrigo,6936
Argentina,13,Radiohead,6815
Argentina,14,The Weeknd,6543
Argentina,15,Pinkpantheress,6379
Argentina,16,Charli Xcx,6359
Argentina,17,Lana Del Rey,6304
Argentina,18,Tame Impala,6082
Argentina,19,Billie Eilish,6060
Argentina,20,Harry Styles,5940
Argentina,21,The Strokes,5909
Argentina,22,The Beatles,5755
Argentina,23,Miranda!,5754
Argentina,24,Soda Stereo,5750
Argentina,25,Madonna,5731
Argentina,26,Gustavo Cerati,5699
Argentina,27,The Smiths,5637
Argentina,28,Milo J,5628
Argentina,29,Kanye West,5503
Argentina,30,Rihanna,5384
Argentina,31,Gorillaz,5359
Argentina,32,Andrés Calamaro,5353
Argentina,33,"Tyler, The Creator",5328
Argentina,34,Chappell Roan,5305
Argentina,35,Trueno,5236
Argentina,36,Duki,5160
Argentina,37,Charly García,5101
Argentina,38,Kendrick Lamar,4943
Argentina,39,The Cure,4665
Argentina,40,Viejas Locas,4654
Argentina,41,Bizarrap,4555
Argentina,42,Rosalía,4487
Argentina,43,Oasis,4476
Argentina,44,Ysy A,4450
Argentina,45,Queen,4446
Argentina,46,Ca7Riel & Paco Amoroso,4425
Argentina,47,Intoxicados,4424
Argentina,48,Shakira,4396
Argentina,49,Dillom,4340
Argentina,50,Airbag,4325
Estados Unidos,1,Kanye West,241892
Estados Unidos,2,Drake,239597
Estados Unidos,3,Kendrick Lamar,229328
Estados Unidos,4,"Tyler, The Creator",227273
Estados Unidos,5,Pinkpantheress,213615
Estados Unidos,6,Radiohead,205739
Estados Unidos,7,Michael Jackson,201318
Estados Unidos,8,Rihanna,200195
Estados Unidos,9,The Weeknd,199700
Estados Unidos,10,Tame Impala,192813
Estados Unidos,11,Charli Xcx,186462
Estados Unidos,12,Frank Ocean,184131
Estados Unidos,13,Paramore,180687
Estados Unidos,14,Lady Gaga,178804
Estados Unidos,15,Justin Bieber,175127
Estados Unidos,16,Childish Gambino,170102
Estados Unidos,17,Ariana Grande,163974
Estados Unidos,18,Taylor Swift,161611
Estados Unidos,19,Malcolm Todd,155476
Estados Unidos,20,Sabrina Carpenter,153654
Estados Unidos,21,Deftones,152577
Estados Unidos,22,A$Ap Rocky,152222
Estados Unidos,23,Playboi Carti,150833
Estados Unidos,24,Don Toliver,147094
Estados Unidos,25,Olivia Rodrigo,146853
Estados Unidos,26,Mac Miller,146697
Estados Unidos,27,Bruno Mars,145994
Estados Unidos,28,Lana Del Rey,145345
Estados Unidos,29,Lil Uzi Vert,144356
Estados Unidos,30,Clairo,143136
Estados Unidos,31,Arctic Monkeys,142870
Estados Unidos,32,Fleetwood Mac,142587
Estados Unidos,33,Sza,141972
Estados Unidos,34,Future,140759
Estados Unidos,35,Travis Scott,139853
Estados Unidos,36,Billie Eilish,135914
Estados Unidos,37,Katy Perry,135001
Estados Unidos,38,Beabadoobee,134558
Estados Unidos,39,Weezer,133383
Estados Unidos,40,The Marías,132673
Estados Unidos,41,The Smiths,131155
Estados Unidos,42,Gorillaz,130651
Estados Unidos,43,Mitski,129510
Estados Unidos,44,Doja Cat,128667
Estados Unidos,45,Tv Girl,127415
Estados Unidos,46,Steve Lacy,125747
Estados Unidos,47,Panic! At The Disco,121849
Estados Unidos,48,Chappell Roan,118948
Estados Unidos,49,Bad Bunny,118838
Estados Unidos,50,Pierce The Veil,118115
