pais,ranking,artista,oyentes
España,1,Bad Bunny,12431
España,2,Rosalía,10254
España,3,Quevedo,8637
España,4,Justin Bieber,8379
España,5,Olivia Rodrigo,8227
España,6,Taylor Swift,8191
España,7,Bad Gyal,7902
España,8,Sabrina Carpenter,7753
España,9,Lady Gaga,7663
España,10,Pinkpantheress,7363
España,11,Charli Xcx,7343
España,12,Ariana Grande,6952
España,13,Rihanna,6937
España,14,Tame Impala,6591
España,15,The Weeknd,6376
España,16,Michael Jackson,6233
España,17,Rauw Alejandro,6172
España,18,Lana Del Rey,6019
España,19,Kanye West,5964
España,20,C. Tangana,5960
España,21,Billie Eilish,5880
España,22,Rusowsky,5592
España,23,Radiohead,5501
España,24,Harry Styles,5415
España,25,Arctic Monkeys,5232
España,26,Bruno Mars,5137
España,27,Aitana,5025
España,28,Shakira,4999
España,29,Drake,4979
España,30,Madonna,4962
España,31,Omar Courtz,4944
España,32,Zara Larsson,4870
España,33,Mora,4808
España,34,Katy Perry,4757
España,35,Coldplay,4671
España,36,Raye,4635
España,37,Kendrick Lamar,4621
España,38,Myke Towers,4592
España,39,Gorillaz,4535
España,40,Karol G,4497
España,41,The Strokes,4484
España,42,David Guetta,4457
España,43,Bizarrap,4440
España,44,"Tyler, The Creator",4437
España,45,Britney Spears,4394
España,46,Amaia,4332
España,47,Chappell Roan,4286
España,48,Bts,4280
España,49,Dua Lipa,4278
España,50,Linkin Park,4269
Argentina,1,Bad Bunny,10193
Argentina,2,Sabrina Carpenter,9532
Argentina,3,Taylor Swift,9325
Argentina,4,Justin Bieber,8722
Argentina,5,Bts,8036
Argentina,6,Olivia Rodrigo,8022
Argentina,7,Babasonicos,7844
Argentina,8,Patricio Rey Y Sus Redonditos De Ricota,7461
Argentina,9,Ariana Grande,7231
Argentina,10,Arctic Monkeys,7149
Argentina,11,Lady Gaga,6989
Argentina,12,Radiohead,6896
Argentina,13,Michael Jackson,6755
Argentina,14,Pinkpantheress,6640
Argentina,15,Lana Del Rey,6542
Argentina,16,The Strokes,6444
Argentina,17,The Weeknd,6405
Argentina,18,Tame Impala,6230
Argentina,19,Harry Styles,6054
Argentina,20,Billie Eilish,5895
Argentina,21,Charli Xcx,5889
Argentina,22,Gustavo Cerati,5868
Argentina,23,The Smiths,5866
Argentina,24,Soda Stereo,5838
Argentina,25,Kanye West,5704
Argentina,26,The Beatles,5634
Argentina,27,"Tyler, The Creator",5617
Argentina,28,Miranda!,5587
Argentina,29,Gorillaz,5407
Argentina,30,Trueno,5374
Argentina,31,Chappell Roan,5358
Argentina,32,Andrés Calamaro,5256
Argentina,33,Duki,5194
Argentina,34,Rihanna,5186
Argentina,35,Madonna,5002
Argentina,36,Charly García,4977
Argentina,37,Rosalía,4936
Argentina,38,Kendrick Lamar,4847
Argentina,39,Milo J,4841
Argentina,40,Ca7Riel & Paco Amoroso,4784
Argentina,41,The Cure,4654
Argentina,42,Red Hot Chili Peppers,4651
Argentina,43,Airbag,4518
Argentina,44,Intoxicados,4499
Argentina,45,Oasis,4490
Argentina,46,Bizarrap,4423
Argentina,47,Ysy A,4418
Argentina,48,Bruno Mars,4401
Argentina,49,Dillom,4384
Argentina,50,Tan Bionica,4334
Estados Unidos,1,Kanye West,246211
Estados Unidos,2,Drake,235373
Estados Unidos,3,"Tyler, The Creator",229809
Estados Unidos,4,Kendrick Lamar,225968
Estados Unidos,5,Pinkpantheress,215921
Estados Unidos,6,Radiohead,211362
Estados Unidos,7,The Weeknd,198091
Estados Unidos,8,Rihanna,195014
Estados Unidos,9,Tame Impala,193484
Estados Unidos,10,Justin Bieber,192466
Estados Unidos,11,Frank Ocean,184088
Estados Unidos,12,Paramore,180796
Estados Unidos,13,Lady Gaga,174286
Estados Unidos,14,Childish Gambino,168007
Estados Unidos,15,Charli Xcx,166341
Estados Unidos,16,Ariana Grande,161292
Estados Unidos,17,Sabrina Carpenter,161260
Estados Unidos,18,Taylor Swift,160433
Estados Unidos,19,Olivia Rodrigo,159715
Estados Unidos,20,Malcolm Todd,156235
Estados Unidos,21,A$Ap Rocky,155917
Estados Unidos,22,Don Toliver,153083
Estados Unidos,23,Deftones,152600
Estados Unidos,24,Playboi Carti,149111
Estados Unidos,25,Lana Del Rey,147696
Estados Unidos,26,Michael Jackson,147645
Estados Unidos,27,Bruno Mars,145258
Estados Unidos,28,Lil Uzi Vert,145217
Estados Unidos,29,Mac Miller,143056
Estados Unidos,30,Sza,142823
Estados Unidos,31,Future,142821
Estados Unidos,32,Travis Scott,142432
Estados Unidos,33,Arctic Monkeys,141792
Estados Unidos,34,Fleetwood Mac,140463
Estados Unidos,35,Clairo,140234
Estados Unidos,36,Billie Eilish,138068
Estados Unidos,37,The Marías,134963
Estados Unidos,38,Beabadoobee,134049
Estados Unidos,39,Weezer,134014
Estados Unidos,40,Gorillaz,132550
Estados Unidos,41,The Smiths,130801
Estados Unidos,42,Doja Cat,130462
Estados Unidos,43,Mitski,130002
Estados Unidos,44,Bad Bunny,126734
Estados Unidos,45,Katy Perry,125271
Estados Unidos,46,Tv Girl,125197
Estados Unidos,47,Steve Lacy,123631
Estados Unidos,48,Dominic Fike,121069
Estados Unidos,49,Panic! At The Disco,120877
Estados Unidos,50,The Strokes,120235
